id	japanese	chinese	partOfSpeech	reading	level	category	lesson
1	ありがとう	謝謝	感動詞	ありがとう / arigatou	N5	問候	1
2	すみません	不好意思；請問	感動詞	すみません / sumimasen	N5	問候	1
3	おはよう	早安	感動詞	おはよう / ohayou	N5	問候	1
4	こんにちは	你好	感動詞	こんにちは / konnichiwa	N5	問候	1
5	こんばんは	晚上好	感動詞	こんばんは / konbanwa	N5	問候	1
6	さようなら	再見	感動詞	さようなら / sayounara	N5	問候	1
7	はい	是；好	感動詞	はい / hai	N5	基礎	1
8	いいえ	不是；不	感動詞	いいえ / iie	N5	基礎	1
9	私	我	代名詞	わたし / watashi	N5	人物	2
10	僕	我（男性常用）	代名詞	ぼく / boku	N5	人物	2
11	あなた	你；您	代名詞	あなた / anata	N5	人物	2
12	人	人	名詞	ひと / hito	N5	人物	2
13	友達	朋友	名詞	ともだち / tomodachi	N5	人物	2
14	先生	老師；先生	名詞	せんせい / sensei	N5	人物	2
15	学生	學生	名詞	がくせい / gakusei	N5	人物	2
16	会社員	公司職員	名詞	かいしゃいん / kaishain	N5	人物	2
17	医者	醫生	名詞	いしゃ / isha	N5	人物	2
18	家族	家人；家庭	名詞	かぞく / kazoku	N5	人物	2
19	父	父親（自己的）	名詞	ちち / chichi	N5	家庭	2
20	母	母親（自己的）	名詞	はは / haha	N5	家庭	2
21	兄	哥哥	名詞	あに / ani	N5	家庭	2
22	姉	姊姊	名詞	あね / ane	N5	家庭	2
23	弟	弟弟	名詞	おとうと / otouto	N5	家庭	2
24	妹	妹妹	名詞	いもうと / imouto	N5	家庭	2
25	名前	名字	名詞	なまえ / namae	N5	自我介紹	2
26	日本	日本	名詞	にほん / nihon	N5	地點	3
27	台湾	臺灣	名詞	たいわん / taiwan	N5	地點	3
28	国	國家	名詞	くに / kuni	N5	地點	3
29	東京	東京	名詞	とうきょう / toukyou	N5	地點	3
30	京都	京都	名詞	きょうと / kyouto	N5	地點	3
31	大阪	大阪	名詞	おおさか / oosaka	N5	地點	3
32	学校	學校	名詞	がっこう / gakkou	N5	場所	4
33	大学	大學	名詞	だいがく / daigaku	N5	場所	4
34	会社	公司	名詞	かいしゃ / kaisha	N5	場所	4
35	家	家；房子	名詞	いえ / ie	N5	場所	4
36	駅	車站	名詞	えき / eki	N5	交通	4
37	空港	機場	名詞	くうこう / kuukou	N5	交通	4
38	病院	醫院	名詞	びょういん / byouin	N5	場所	4
39	銀行	銀行	名詞	ぎんこう / ginkou	N5	場所	4
40	郵便局	郵局	名詞	ゆうびんきょく / yuubinkyoku	N5	場所	4
41	店	店；商店	名詞	みせ / mise	N5	購物	4
42	コンビニ	便利商店	名詞	コンビニ / konbini	N5	購物	4
43	トイレ	廁所	名詞	トイレ / toire	N5	場所	4
44	ここ	這裡	代名詞	ここ / koko	N5	方位	4
45	そこ	那裡（靠近對方）	代名詞	そこ / soko	N5	方位	4
46	あそこ	那裡（離雙方較遠）	代名詞	あそこ / asoko	N5	方位	4
47	どこ	哪裡	疑問詞	どこ / doko	N5	方位	4
48	右	右邊	名詞	みぎ / migi	N5	方位	4
49	左	左邊	名詞	ひだり / hidari	N5	方位	4
50	前	前面	名詞	まえ / mae	N5	方位	4
51	後ろ	後面	名詞	うしろ / ushiro	N5	方位	4
